| SVG | Точка | X, px | Y, px |   X norm |   Y norm |
| --: | ----: | ----: | ----: | -------: | -------: |
|   1 |     1 |   502 |     6 | 0.974000 | 0.000000 |
|   1 |     2 |    19 |    21 | 0.008000 | 0.048387 |
|   1 |     3 |    15 |   234 | 0.000000 | 0.735484 |
|   1 |     4 |    91 |   239 | 0.152000 | 0.751612 |
|   1 |     5 |    64 |   297 | 0.098000 | 0.938709 |
|   1 |     6 |   474 |   316 | 0.918000 | 1.000000 |
|   1 |     7 |   478 |   159 | 0.926000 | 0.493548 |
|   1 |     8 |   515 |   131 | 1.000000 | 0.403226 |
|   1 |     9 |   478 |    92 | 0.926000 | 0.277419 |
|   2 |     1 |    16 |    46 | 0.000000 | 0.054945 |
|   2 |     2 |    17 |   485 | 0.002070 | 0.657968 |
|   2 |     3 |   230 |   483 | 0.443064 | 0.655220 |
|   2 |     4 |   300 |   536 | 0.587992 | 0.728023 |
|   2 |     5 |   286 |   734 | 0.559006 | 1.000000 |
|   2 |     6 |   317 |   723 | 0.623188 | 0.984891 |
|   2 |     7 |   327 |   579 | 0.643893 | 0.787088 |
|   2 |     8 |   420 |   412 | 0.836439 | 0.557693 |
|   2 |     9 |   414 |   346 | 0.824017 | 0.467034 |
|   2 |    10 |   499 |   256 | 1.000000 | 0.343407 |
|   2 |    11 |   487 |   165 | 0.975156 | 0.218407 |
|   2 |    12 |   291 |    73 | 0.569358 | 0.092034 |
|   2 |    13 |   247 |   165 | 0.478261 | 0.218407 |
|   2 |    14 |   170 |     6 | 0.318841 | 0.000000 |
|   3 |     1 |   436 |    96 | 1.000000 | 0.208333 |
|   3 |     2 |   161 |     6 | 0.340527 | 0.000000 |
|   3 |     3 |   114 |    71 | 0.227817 | 0.150464 |
|   3 |     4 |   122 |   135 | 0.247002 | 0.298612 |
|   3 |     5 |    89 |   162 | 0.167866 | 0.361111 |
|   3 |     6 |    62 |   257 | 0.103118 | 0.581018 |
|   3 |     7 |    32 |   286 | 0.031175 | 0.648148 |
|   3 |     8 |    19 |   438 | 0.000000 | 1.000000 |
|   3 |     9 |   224 |   385 | 0.491607 | 0.877315 |
|   4 |     1 |   694 |    17 | 1.000000 | 0.000000 |
|   4 |     2 |   401 |    93 | 0.561377 | 0.065348 |
|   4 |     3 |   354 |   253 | 0.491018 | 0.202924 |
|   4 |     4 |    40 |   252 | 0.020958 | 0.202064 |
|   4 |     5 |    26 |   320 | 0.000000 | 0.260533 |
|   4 |     6 |   184 |   637 | 0.236527 | 0.533104 |
|   4 |     7 |   147 |   840 | 0.181137 | 0.707652 |
|   4 |     8 |   221 |  1180 | 0.291916 | 1.000000 |
|   4 |     9 |   309 |  1174 | 0.423652 | 0.994841 |
|   4 |    10 |   529 |   945 | 0.752993 | 0.797936 |
|   5 |     1 |   278 |     6 | 0.789789 | 0.000000 |
|   5 |     2 |   252 |    90 | 0.711711 | 0.213741 |
|   5 |     3 |   211 |   129 | 0.588589 | 0.312977 |
|   5 |     4 |    59 |   107 | 0.132132 | 0.256998 |
|   5 |     5 |    15 |   135 | 0.000000 | 0.328244 |
|   5 |     6 |   174 |   256 | 0.477477 | 0.636132 |
|   5 |     7 |    83 |   399 | 0.204204 | 1.000000 |
|   5 |     8 |   160 |   399 | 0.435435 | 1.000000 |
|   5 |     9 |   348 |   336 | 1.000000 | 0.839694 |
|   6 |     1 |    69 |     6 | 0.173076 | 0.000000 |
|   6 |     2 |    15 |   250 | 0.000000 | 0.715543 |
|   6 |     3 |    85 |   320 | 0.224359 | 0.920821 |
|   6 |     4 |   213 |   347 | 0.634615 | 1.000000 |
|   6 |     5 |   263 |   339 | 0.794872 | 0.976539 |
|   6 |     6 |   327 |    98 | 1.000000 | 0.269795 |
|   6 |     7 |   153 |    11 | 0.442307 | 0.014663 |
|   7 |     1 |    15 |   180 | 0.000000 | 0.563106 |
|   7 |     2 |   181 |   315 | 0.351695 | 1.000000 |
|   7 |     3 |   487 |   315 | 1.000000 | 1.000000 |
|   7 |     4 |   485 |    20 | 0.995763 | 0.045308 |
|   7 |     5 |   270 |     6 | 0.540254 | 0.000000 |
