area,point,x_norm,y_norm
1,1,0.974000,0.000
1,2,0.008000,0.048387
1,3,0.000,0.735484
1,4,0.152000,0.751612
1,5,0.098000,0.938709
1,6,0.918000,1.000
1,7,0.926000,0.493548
1,8,1.000,0.403226
1,9,0.926000,0.277419
2,1,0.000,0.054945
2,2,0.002070,0.657968
2,3,0.443064,0.655220
2,4,0.587992,0.728023
2,5,0.559006,1.000
2,6,0.623188,0.984891
2,7,0.643893,0.787088
2,8,0.836439,0.557693
2,9,0.824017,0.467034
2,10,1.000,0.343407
2,11,0.975156,0.218407
2,12,0.569358,0.092034
2,13,0.478261,0.218407
2,14,0.318841,0.000
3,1,1.000,0.208333
3,2,0.340527,0.000
3,3,0.227817,0.150464
3,4,0.247002,0.298612
3,5,0.167866,0.361111
3,6,0.103118,0.581018
3,7,0.031175,0.648148
3,8,0.000,1.000
3,9,0.491607,0.877315
