| SVG | Точка | X, px | Y, px |   X norm |   Y norm |
| --: | ----: | ----: | ----: | -------: | -------: |
|   1 |     1 |   502 |     6 | 0.974000 | 0.000 |
|   1 |     2 |    19 |    21 | 0.008000 | 0.048387 |
|   1 |     3 |    15 |   234 | 0.000 | 0.735484 |
|   1 |     4 |    91 |   239 | 0.152000 | 0.751612 |
|   1 |     5 |    64 |   297 | 0.098000 | 0.938709 |
|   1 |     6 |   474 |   316 | 0.918000 | 1.000 |
|   1 |     7 |   478 |   159 | 0.926000 | 0.493548 |
|   1 |     8 |   515 |   131 | 1.000 | 0.403226 |
|   1 |     9 |   478 |    92 | 0.926000 | 0.277419 |
|   2 |     1 |    16 |    46 | 0.000 | 0.054945 |
|   2 |     2 |    17 |   485 | 0.002070 | 0.657968 |
|   2 |     3 |   230 |   483 | 0.443064 | 0.655220 |
|   2 |     4 |   300 |   536 | 0.587992 | 0.728023 |
|   2 |     5 |   286 |   734 | 0.559006 | 1.000 |
|   2 |     6 |   317 |   723 | 0.623188 | 0.984891 |
|   2 |     7 |   327 |   579 | 0.643893 | 0.787088 |
|   2 |     8 |   420 |   412 | 0.836439 | 0.557693 |
|   2 |     9 |   414 |   346 | 0.824017 | 0.467034 |
|   2 |    10 |   499 |   256 | 1.000 | 0.343407 |
|   2 |    11 |   487 |   165 | 0.975156 | 0.218407 |
|   2 |    12 |   291 |    73 | 0.569358 | 0.092034 |
|   2 |    13 |   247 |   165 | 0.478261 | 0.218407 |
|   2 |    14 |   170 |     6 | 0.318841 | 0.000 |
|   3 |     1 |   436 |    96 | 1.000 | 0.208333 |
|   3 |     2 |   161 |     6 | 0.340527 | 0.000 |
|   3 |     3 |   114 |    71 | 0.227817 | 0.150464 |
|   3 |     4 |   122 |   135 | 0.247002 | 0.298612 |
|   3 |     5 |    89 |   162 | 0.167866 | 0.361111 |
|   3 |     6 |    62 |   257 | 0.103118 | 0.581018 |
|   3 |     7 |    32 |   286 | 0.031175 | 0.648148 |
|   3 |     8 |    19 |   438 | 0.000 | 1.000 |
|   3 |     9 |   224 |   385 | 0.491607 | 0.877315 |
